Entity,Code,Year,"Indicator:Alcohol, abstainers lifetime (%) - Sex:Both sexes"
Afghanistan,AFG,2016,99.1
Albania,ALB,2016,25.2
Algeria,DZA,2016,93.5
Andorra,AND,2016,10.3
Angola,AGO,2016,33.9
Antigua and Barbuda,ATG,2016,27.7
Argentina,ARG,2016,6.7
Armenia,ARM,2016,45.5
Australia,AUS,2016,8.5
Austria,AUT,2016,8.8
Azerbaijan,AZE,2016,53.2
Bahamas,BHS,2016,33
Bahrain,BHR,2016,84.4
Bangladesh,BGD,2016,92.5
Barbados,BRB,2016,25.1
Belarus,BLR,2016,7.5
Belgium,BEL,2016,9.4
Belize,BLZ,2016,34.4
Benin,BEN,2016,69.5
Bhutan,BTN,2016,64.8
Bolivia,BOL,2016,12
Bosnia and Herzegovina,BIH,2016,27.4
Botswana,BWA,2016,53
Brazil,BRA,2016,21.4
Brunei,BRN,2016,38.6
Bulgaria,BGR,2016,13.9
Burkina Faso,BFA,2016,58.5
Burundi,BDI,2016,52.9
Cambodia,KHM,2016,45.6
Cameroon,CMR,2016,60.9
Canada,CAN,2016,12.2
Cape Verde,CPV,2016,55.7
Central African Republic,CAF,2016,43.7
Chad,TCD,2016,72.7
Chile,CHL,2016,6.6
China,CHN,2016,42.1
Colombia,COL,2016,26.4
Comoros,COM,2016,93.3
Congo,COG,2016,29.7
Cook Islands,COK,2016,24
Costa Rica,CRI,2016,27.9
Cote d'Ivoire,CIV,2016,56.7
Croatia,HRV,2016,18.5
Cuba,CUB,2016,29.7
Cyprus,CYP,2016,13.6
Czechia,CZE,2016,9.3
Democratic Republic of Congo,COD,2016,45.1
Denmark,DNK,2016,10.7
Djibouti,DJI,2016,68.9
Dominica,DMA,2016,30.2
Dominican Republic,DOM,2016,32.8
East Timor,TLS,2016,58
Ecuador,ECU,2016,11.6
Egypt,EGY,2016,94.3
El Salvador,SLV,2016,35
Equatorial Guinea,GNQ,2016,14.5
Eritrea,ERI,2016,68.1
Estonia,EST,2016,11.6
Eswatini,SWZ,2016,55.8
Ethiopia,ETH,2016,64.7
Fiji,FJI,2016,60.2
Finland,FIN,2016,11.4
France,FRA,2016,9.8
Gabon,GAB,2016,18.3
Gambia,GMB,2016,68.5
Georgia,GEO,2016,33.9
Germany,DEU,2016,7.9
Ghana,GHA,2016,69.5
Greece,GRC,2016,15
Grenada,GRD,2016,26.6
Guatemala,GTM,2016,38.2
Guinea,GIN,2016,73.6
Guinea-Bissau,GNB,2016,66.1
Guyana,GUY,2016,36.3
Haiti,HTI,2016,40.4
Honduras,HND,2016,34.8
Hungary,HUN,2016,14.2
Iceland,ISL,2016,12.7
India,IND,2016,53.5
Indonesia,IDN,2016,57.2
Iran,IRN,2016,96
Iraq,IRQ,2016,93.8
Ireland,IRL,2016,7.4
Israel,ISR,2016,24.4
Italy,ITA,2016,27.4
Jamaica,JAM,2016,40.8
Japan,JPN,2016,9.1
Jordan,JOR,2016,93.9
Kazakhstan,KAZ,2016,31.5
Kenya,KEN,2016,63.1
Kiribati,KIR,2016,70.5
Kuwait,KWT,2016,97.9
Kyrgyzstan,KGZ,2016,46
Laos,LAO,2016,35.5
Latvia,LVA,2016,10.2
Lebanon,LBN,2016,90.1
Lesotho,LSO,2016,70.6
Liberia,LBR,2016,63.7
Libya,LBY,2016,99.5
Lithuania,LTU,2016,8.1
Luxembourg,LUX,2016,3.4
Madagascar,MDG,2016,67
Malawi,MWI,2016,63.2
Malaysia,MYS,2016,49.6
Maldives,MDV,2016,85.8
Mali,MLI,2016,73.2
Malta,MLT,2016,17.2
Mauritania,MRT,2016,98
Mauritius,MUS,2016,45.9
Mexico,MEX,2016,23.1
Micronesia (country),FSM,2016,64.7
Moldova,MDA,2016,11.4
Mongolia,MNG,2016,37.3
Montenegro,MNE,2016,22.9
Morocco,MAR,2016,94.6
Mozambique,MOZ,2016,66.8
Myanmar,MMR,2016,50.1
Namibia,NAM,2016,54.3
Nauru,NRU,2016,53.7
Nepal,NPL,2016,66.9
Netherlands,NLD,2016,12.1
New Zealand,NZL,2016,10.6
Nicaragua,NIC,2016,31.6
Niger,NER,2016,75.2
Nigeria,NGA,2016,43.1
Niue,NIU,2016,41.3
North Korea,PRK,2016,58
North Macedonia,MKD,2016,23.1
Norway,NOR,2016,9.3
Oman,OMN,2016,85.3
Pakistan,PAK,2016,96.5
Panama,PAN,2016,19.5
Papua New Guinea,PNG,2016,67.6
Paraguay,PRY,2016,24.7
Peru,PER,2016,8.8
Philippines,PHL,2016,43.1
Poland,POL,2016,13.5
Portugal,PRT,2016,12.6
Qatar,QAT,2016,44.9
Romania,ROU,2016,13.5
Russia,RUS,2016,27.2
Rwanda,RWA,2016,48.8
Saint Kitts and Nevis,KNA,2016,22.8
Saint Lucia,LCA,2016,26
Saint Vincent and the Grenadines,VCT,2016,29
Samoa,WSM,2016,63.1
Sao Tome and Principe,STP,2016,60
Saudi Arabia,SAU,2016,93.4
Senegal,SEN,2016,74.3
Serbia,SRB,2016,17.9
Seychelles,SYC,2016,23.2
Sierra Leone,SLE,2016,63.5
Singapore,SGP,2016,6.7
Slovakia,SVK,2016,11.6
Slovenia,SVN,2016,67.7
Solomon Islands,SLB,2016,97.1
Somalia,SOM,2016,53.5
South Korea,KOR,2016,7.1
Spain,ESP,2016,13.6
Sri Lanka,LKA,2016,48.3
Sudan,SDN,2016,95.2
Suriname,SUR,2016,34.1
Sweden,SWE,2016,11.6
Switzerland,CHE,2016,7.5
Syria,SYR,2016,97.7
Tajikistan,TJK,2016,53.8
Tanzania,TZA,2016,47.1
Thailand,THA,2016,34.5
Togo,TGO,2016,69.9
Tonga,TON,2016,66.4
Trinidad and Tobago,TTO,2016,20.5
Tunisia,TUN,2016,91.3
Turkey,TUR,2016,89.1
Turkmenistan,TKM,2016,41.6
Tuvalu,TUV,2016,66.4
Uganda,UGA,2016,47.4
Ukraine,UKR,2016,12.7
United Arab Emirates,ARE,2016,70.6
United Kingdom,GBR,2016,11
United States,USA,2016,9.2
Uruguay,URY,2016,6
Uzbekistan,UZB,2016,53.9
Vanuatu,VUT,2016,67.6
Venezuela,VEN,2016,27.2
Vietnam,VNM,2016,38.6
Yemen,YEM,2016,99
Zambia,ZMB,2016,58.7
Zimbabwe,ZWE,2016,71